Cue_Anexo,Nivel,Modalidad_Educ_Gral,Cue,Estado,Sector,Departamento,NINA,Cant_Secciones,Tipo_titulo,Primero,Segundo,Tercero,Cuarto,Quinto,Sexto,Septimo,Mat_ciclo_basico,Mat_ciclo_orientado,Matricula_Total,Titulo
600513000,Secundaria,Común,6005130,Activo,ESTATAL,,no,10,Ciclo básico agrario,39,34,39,36,27,24,21,112,108,220,Técnico en producción agropecuaria
600569200,Secundaria,Común,6005692,Activo,ESTATAL,COLON,no,10,Ciclo básico agrario,45,67,41,14,13,14,8,153,49,202,Técnico en producción agropecuaria
600569400,Secundaria,Común,6005694,Activo,ESTATAL,GUALEGUAY,no,9,Ciclo básico agrario,34,33,16,13,9,12,10,83,44,127,Técnico en producción agropecuaria
600572800,Secundaria,Común,6005728,Activo,ESTATAL,,no,14,Ciclo básico agrario,60,47,50,42,35,29,23,157,129,286,Técnico en producción agropecuaria
600573400,Secundaria,Común,6005734,Activo,ESTATAL,VILLAGUAY,no,7,Ciclo básico agrario,29,15,16,13,14,16,10,60,53,113,Técnico agropecuario
600603200,Secundaria,Común,6006032,Activo,ESTATAL,,no,6,Ciclo básico agrario,15,17,3,5,2,,1,35,8,43,Técnico en producción agropecuaria
600606000,Secundaria,Común,6006060,Activo,ESTATAL,,no,9,Ciclo basico técnico,31,19,22,18,21,7,9,72,55,127,Técnico mecánico electricista
600606200,Secundaria,Común,6006062,Activo,ESTATAL,,no,10,Ciclo basico técnico,47,36,29,28,24,20,36,112,108,220,Técnico mecánico electricista
600646400,Secundaria,Común,6006464,Activo,ESTATAL,,no,7,Ciclo basico técnico,20,19,12,10,8,14,4,51,36,87,Técnico mecánico electricista
600657400,Secundaria,Común,6006574,Activo,ESTATAL,FEDERACION,no,7,Ciclo basico técnico,26,23,22,5,10,10,5,71,30,101,Maestro mayor de obras
600669000,Secundaria,Común,6006690,Activo,ESTATAL,FEDERACION,no,12,Ciclo basico técnico,62,51,33,40,39,26,31,146,136,282,Técnico mecánico con especialización en electromecánica
600669800,Secundaria,Común,6006698,Activo,ESTATAL,COLON,no,7,Ciclo basico técnico,16,30,17,18,15,13,13,63,59,122,Técnico mecánico rural
600670600,Secundaria,Común,6006706,Activo,ESTATAL,,no,7,Ciclo basico técnico,13,13,12,7,7,8,4,38,26,64,Técnico de nivel medio en construcciones y maestro mayor de obras
600679600,Secundaria,Común,6006796,Activo,ESTATAL,,no,6,Ciclo básico agrario,33,22,21,24,12,11,,76,47,123,Técnico en producción agropecuaria
600198400,Secundaria,Común,6001984,Activo,ESTATAL,,no,17,Ciclo básico agrario,73,84,66,75,31,27,21,223,154,377,Técnico en producción agropecuaria
600207200,Secundaria,Común,6002072,Activo,PRIVADA,,no,7,Ciclo básico agrario,28,19,22,15,11,18,16,69,60,129,Técnico en producción agropecuaria
600252000,Secundaria,Común,6002520,Activo,PRIVADA,,no,7,Ciclo básico agrario,22,14,15,13,18,11,11,51,53,104,Técnico en producción agropecuaria
600298800,Secundaria,Común,6002988,Activo,ESTATAL,,no,13,Ciclo basico técnico,41,42,25,27,12,21,,108,67,175,Bachiller en humanidades y ciencias sociales; Técnico en producción agropecuaria
600308200,Secundaria,Común,6003082,Activo,PRIVADA,,no,14,Ciclo básico agrario,86,60,58,50,61,35,35,204,181,385,Técnico en producción agropecuaria
